group,prof,use,prof_z,use_z,target,stress,bin,target_count,target_prop,eLog,wts,onset_c3,elsewhere_count,elsewhere_prop,distractor_count,distractor_prop,lm_bin,t_onset,time_zero
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,0,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-23
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,1,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-22
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,2,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-21
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,3,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-20
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,4,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-19
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,5,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-18
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,6,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-17
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,7,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-16
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,8,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-15
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,9,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-14
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,10,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-13
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,11,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-12
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,12,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-11
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,13,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-10
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,14,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-9
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,15,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-8
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,16,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-7
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,17,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-6
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,18,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-5
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,19,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-4
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,20,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-3
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,21,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-2
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,22,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,-1
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,23,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,TRUE,0
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,24,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,1
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,25,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,2
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,26,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,3
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,27,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,4
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,28,0,0,-4.61512051684126,2.01980198019802,1130,0,0,50,1,23,FALSE,5
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,29,26,0.52,0.07847161544149531,0.07855217558721601,1130,9,9,15,0.3,23,FALSE,6
L2,38,40,-0.22729315992684587,0.020905626312072222,mando,Oxytone,30,50,1,4.61512051684126,2.01980198019802,1130,0,0,0,0,23,FALSE,7
