group,prof,use,prof_z,use_z,target,stress,bin,target_count,target_prop,eLog,wts,onset_c3,elsewhere_count,elsewhere_prop,distractor_count,distractor_prop,lm_bin,t_onset,time_zero
Monolingual,NA,NA,NA,NA,monta,Paroxytone,0,0,0,-4.61512051684126,2.01980198019802,1177,0,0,50,1,24,FALSE,-24
Monolingual,NA,NA,NA,NA,monta,Paroxytone,1,0,0,-4.61512051684126,2.01980198019802,1177,0,0,50,1,24,FALSE,-23
Monolingual,NA,NA,NA,NA,monta,Paroxytone,2,0,0,-4.61512051684126,2.01980198019802,1177,0,0,50,1,24,FALSE,-22
Monolingual,NA,NA,NA,NA,monta,Paroxytone,3,32,0.64,0.5634693572514127,0.08482328482328483,1177,8,8,10,0.2,24,FALSE,-21
Monolingual,NA,NA,NA,NA,monta,Paroxytone,4,50,1,4.61512051684126,2.01980198019802,1177,0,0,0,0,24,FALSE,-20
Monolingual,NA,NA,NA,NA,monta,Paroxytone,5,50,1,4.61512051684126,2.01980198019802,1177,0,0,0,0,24,FALSE,-19
Monolingual,NA,NA,NA,NA,monta,Paroxytone,6,50,1,4.61512051684126,2.01980198019802,1177,0,0,0,0,24,FALSE,-18
Monolingual,NA,NA,NA,NA,monta,Paroxytone,7,30,0.6,0.39730179746900346,0.08156737305077968,1177,20,20,0,0,24,FALSE,-17
Monolingual,NA,NA,NA,NA,monta,Paroxytone,8,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-16
Monolingual,NA,NA,NA,NA,monta,Paroxytone,9,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-15
Monolingual,NA,NA,NA,NA,monta,Paroxytone,10,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-14
Monolingual,NA,NA,NA,NA,monta,Paroxytone,11,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-13
Monolingual,NA,NA,NA,NA,monta,Paroxytone,12,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-12
Monolingual,NA,NA,NA,NA,monta,Paroxytone,13,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-11
Monolingual,NA,NA,NA,NA,monta,Paroxytone,14,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-10
Monolingual,NA,NA,NA,NA,monta,Paroxytone,15,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-9
Monolingual,NA,NA,NA,NA,monta,Paroxytone,16,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-8
Monolingual,NA,NA,NA,NA,monta,Paroxytone,17,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-7
Monolingual,NA,NA,NA,NA,monta,Paroxytone,18,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-6
Monolingual,NA,NA,NA,NA,monta,Paroxytone,19,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-5
Monolingual,NA,NA,NA,NA,monta,Paroxytone,20,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-4
Monolingual,NA,NA,NA,NA,monta,Paroxytone,21,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-3
Monolingual,NA,NA,NA,NA,monta,Paroxytone,22,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-2
Monolingual,NA,NA,NA,NA,monta,Paroxytone,23,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,-1
Monolingual,NA,NA,NA,NA,monta,Paroxytone,24,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,TRUE,0
Monolingual,NA,NA,NA,NA,monta,Paroxytone,25,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,1
Monolingual,NA,NA,NA,NA,monta,Paroxytone,26,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,2
Monolingual,NA,NA,NA,NA,monta,Paroxytone,27,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,3
Monolingual,NA,NA,NA,NA,monta,Paroxytone,28,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,4
Monolingual,NA,NA,NA,NA,monta,Paroxytone,29,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,5
Monolingual,NA,NA,NA,NA,monta,Paroxytone,30,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,6
Monolingual,NA,NA,NA,NA,monta,Paroxytone,31,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,7
Monolingual,NA,NA,NA,NA,monta,Paroxytone,32,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,8
Monolingual,NA,NA,NA,NA,monta,Paroxytone,33,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,9
Monolingual,NA,NA,NA,NA,monta,Paroxytone,34,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,10
Monolingual,NA,NA,NA,NA,monta,Paroxytone,35,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,11
Monolingual,NA,NA,NA,NA,monta,Paroxytone,36,0,0,-4.61512051684126,2.01980198019802,1177,50,50,0,0,24,FALSE,12
